iter	RMSE
0	211997.1918
1	210967.7167
2	209196.6253
3	208170.8915
4	207177.2398
5	205790.4829
6	204689.175
7	203669.3467
8	202752.2612
9	201624.8529
10	200706.5762
11	199685.3964
12	198576.2201
13	197431.9352
14	196082.0312
15	195146.0827
16	194038.9735
17	192983.357
18	192062.1992
19	191145.4383
20	189945.6083
21	189038.9505
22	188136.6203
23	186960.316
24	186115.2262
25	185248.6353
26	184364.3973
27	183259.1334
28	182589.8327
29	181526.2063
30	180683.0106
31	179562.2133
32	178381.7292
33	177201.1657
34	176136.1333
35	175288.2367
36	174442.74
37	173468.2547
38	172697.4114
39	171535.0869
40	170686.1009
41	169781.71
42	168802.0981
43	168071.0977
44	167361.2604
45	166238.9264
46	165302.77
47	164484.4031
48	163639.9586
49	162858.8642
50	162039.9451
51	161165.7204
52	160217.8941
53	159395.7366
54	158634.9009
55	157522.3488
56	156393.907
57	155648.3705
58	154698.0269
59	153880.5731
60	153010.8741
61	152272.1643
62	151510.3159
63	150736.6082
64	149834.1873
65	149149.0483
66	148256.3097
67	147548.6453
68	146728.888
69	145914.5694
70	145105.6517
71	144280.2144
72	143424.1735
73	142747.9896
74	142066.6178
75	141335.6863
76	140510.592
77	139849.5374
78	139182.0007
79	138288.2608
80	137598.926
81	137005.1037
82	136330.4537
83	135610.802
84	134944.0644
85	134299.9427
86	133541.7252
87	132904.2972
88	132130.4948
89	131404.8889
90	130401.4166
91	129551.5329
92	128851.9883
93	128128.8836
94	127357.2925
95	126634.2568
96	126080.8724
97	125261.3623
98	124476.7387
99	123754.1044
100	123104.4486
101	122516.8403
102	121969.7033
103	121426.8744
104	120659.7044
105	119966.0877
106	119393.4596
107	118806.0547
108	118174.9347
109	117610.8562
110	116952.957
111	116321.9303
112	115766.6966
113	115228.8671
114	114579.94
115	114121.966
116	113585.5179
117	112839.4901
118	112205.6248
119	111538.0521
120	111131.0686
121	110553.1897
122	109947.3117
123	109422.5057
124	108900.2047
125	108237.6219
126	107744.1765
127	107229.8866
128	106701.2477
129	106161.5891
130	105638.5051
131	105076.0969
132	104640.812
133	104141.3352
134	103558.8057
135	103112.477
136	102445.265
137	101956.2681
138	101424.763
139	100846.3762
140	100379.9101
141	99888.11935
142	99216.06408
143	98714.38996
144	98203.62608
145	97645.40958
146	97179.32364
147	96791.10877
148	96329.10062
149	95869.29776
150	95411.68965
151	94944.51047
152	94491.3166
153	94002.19182
154	93418.24555
155	92916.75542
156	92473.24053
157	92031.84265
158	91603.811
159	91141.57855
160	90706.53703
161	90273.57206
162	89861.96176
163	89433.02816
164	88995.50644
165	88570.70865
166	88004.32467
167	87573.4825
168	87036.4766
169	86689.85148
170	86161.68976
171	85779.59736
172	85299.5769
173	84869.11023
174	84464.00876
175	83989.22701
176	83579.01248
177	83222.51696
178	82793.86953
179	82398.6737
180	82005.36424
181	81646.71013
182	81212.38866
183	80824.74164
184	80438.94495
185	80034.40768
186	79658.87346
187	79278.64176
188	78799.86974
189	78423.73828
190	78029.57185
191	77657.1172
192	77286.44038
193	76917.53289
194	76550.38629
195	76184.99217
196	75832.70382
197	75470.73538
198	75102.42214
199	74725.05738
200	74368.37601
201	74013.39717
202	73660.11273
203	73319.54506
204	72969.57256
205	72621.27055
206	72248.71346
207	71903.8523
208	71560.63724
209	71219.06044
210	70879.11407
211	70540.79035
212	70204.08154
213	69868.97991
214	69361.72677
215	69041.08654
216	68711.53618
217	68359.26947
218	68023.5226
219	67698.82933
220	67359.05121
221	67037.52962
222	66726.92232
223	66401.36576
224	66066.67507
225	65735.20163
226	65414.60563
227	65095.63661
228	64778.28593
229	64469.08298
230	64161.35594
231	63831.37179
232	63526.68871
233	63201.63207
234	62899.95489
235	62599.71769
236	62294.67166
237	61997.32363
238	61695.27225
239	61379.83636
240	61080.90751
241	60789.35308
242	60499.19031
243	60210.41256
244	59923.01322
245	59636.9857
246	59352.32347
247	59063.32542
248	58781.40141
249	58500.82309
250	58221.58405
251	57938.14716
252	57661.5939
253	57386.36071
254	57112.44127
255	56839.82932
256	56568.51861
257	56298.50294
258	56029.77612
259	55762.332
260	55490.92032
261	55226.04829
262	54962.44057
263	54700.09111
264	54438.9939
265	54179.14298
266	53920.5324
267	53663.15622
268	53407.00857
269	53147.11163
270	52893.42719
271	52640.95365
272	52389.68522
273	52139.61616
274	51885.93623
275	51638.27169
276	51391.78932
277	51146.48347
278	50902.34852
279	50659.3789
280	50417.56902
281	50176.91337
282	49937.40642
283	49699.04271
284	49461.81676
285	49225.72315
286	48990.75647
287	48756.91135
288	48524.18243
289	48292.56439
290	48062.05191
291	47832.63973
292	47604.32259
293	47372.75375
294	47146.63176
295	46921.58911
296	46697.62064
297	46474.72123
298	46252.88577
299	46032.10919
300	45808.23187
301	45589.57773
302	45371.96729
303	45155.39555
304	44939.85757
305	44725.3484
306	44511.86314
307	44299.39689
308	44087.9448
309	43877.50203
310	43668.06375
311	43459.62517
312	43252.18152
313	43045.72805
314	42840.26003
315	42635.77277
316	42432.26157
317	42229.72179
318	42028.14877
319	41827.53792
320	41627.88463
321	41429.18434
322	41231.43249
323	41034.62456
324	40838.75604
325	40643.82246
326	40449.81934
327	40256.74224
328	40064.58676
329	39873.34847
330	39683.02302
331	39493.60603
332	39305.09319
333	39117.48016
334	38930.76265
335	38744.93639
336	38559.99713
337	38375.94063
338	38192.76268
339	38010.45908
340	37829.02566
341	37648.45827
342	37468.75277
343	37289.90505
344	37111.91102
345	36934.7666
346	36758.46773
347	36583.01038
348	36408.39053
349	36234.60418
350	36061.64736
351	35889.51611
352	35718.20648
353	35547.71456
354	35378.03644
355	35209.16823
356	35041.10607
357	34873.84612
358	34707.38454
359	34541.71752
360	34376.84127
361	34212.75202
362	34049.44601
363	33886.91949
364	33725.16876
365	33564.1901
366	33403.97984
367	33244.5343
368	33085.84983
369	32927.9228
370	32770.7496
371	32614.32662
372	32458.65029
373	32303.71704
374	32149.52333
375	31996.06562
376	31843.34041
377	31691.34419
378	31540.07348
379	31389.52483
380	31239.69479
381	31090.57992
382	30942.17681
383	30794.48207
384	30647.49232
385	30501.20418
386	30355.61431
387	30210.71938
388	30066.51607
389	29923.00107
390	29780.17111
391	29638.02292
392	29496.55323
393	29355.75881
394	29215.63644
395	29076.18291
396	28937.39502
397	28799.2696
398	28661.80349
399	28524.99355
400	28388.83662
401	28253.32961
402	28118.46941
403	27984.25293
404	27850.6771
405	27717.73886
406	27585.43517
407	27453.76299
408	27322.71932
409	27192.30116
410	27062.50551
411	26933.32941
412	26804.7699
413	26676.82404
414	26549.48889
415	26422.76155
416	26296.6391
417	26171.11867
418	26046.19739
419	25921.87238
420	25798.14081
421	25674.99983
422	25552.44664
423	25430.47843
424	25309.0924
425	25188.28578
426	25068.0558
427	24948.39971
428	24829.31476
429	24710.79824
430	24592.84743
431	24475.45962
432	24358.63214
433	24242.3623
434	24126.64745
435	24011.48493
436	23896.87211
437	23782.80637
438	23669.2851
439	23556.30568
440	23443.86555
441	23331.96212
442	23220.59284
443	23109.75515
444	22999.44651
445	22889.66441
446	22780.40632
447	22671.66975
448	22563.45221
449	22455.75121
450	22348.5643
451	22241.88902
452	22135.72293
453	22030.06359
454	21924.90859
455	21820.25553
456	21716.10199
457	21612.44561
458	21509.28401
459	21406.61482
460	21304.4357
461	21202.74431
462	21101.53831
463	21000.8154
464	20900.57326
465	20800.8096
466	20701.52214
467	20602.7086
468	20504.36673
469	20406.49426
470	20309.08897
471	20212.14861
472	20115.67097
473	20019.65385
474	19924.09504
475	19828.99236
476	19734.34362
477	19640.14667
478	19546.39934
479	19453.09949
480	19360.24499
481	19267.8337
482	19175.86352
483	19084.33233
484	18993.23805
485	18902.57857
486	18812.35184
487	18722.55579
488	18633.18835
489	18544.24749
490	18455.73116
491	18367.63735
492	18279.96402
493	18192.70919
494	18105.87084
495	18019.447
496	17933.43567
497	17847.83491
498	17762.64273
499	17677.8572
500	17593.47637
501	17509.49831
502	17425.9211
503	17342.74282
504	17259.96158
505	17177.57547
506	17095.58261
507	17013.98112
508	16932.76914
509	16851.9448
510	16771.50626
511	16691.45167
512	16611.7792
513	16532.48703
514	16453.57334
515	16375.03632
516	16296.87418
517	16219.08513
518	16141.66738
519	16064.61917
520	15987.93873
521	15911.62431
522	15835.67415
523	15760.08652
524	15684.85969
525	15609.99193
526	15535.48154
527	15461.32681
528	15387.52603
529	15314.07752
530	15240.97961
531	15168.2306
532	15095.82885
533	15023.77269
534	14952.06046
535	14880.69054
536	14809.66129
537	14738.97108
538	14668.61829
539	14598.60131
540	14528.91853
541	14459.56838
542	14390.54924
543	14321.85956
544	14253.49774
545	14185.46224
546	14117.75148
547	14050.36393
548	13983.29803
549	13916.55225
550	13850.12507
551	13784.01496
552	13718.22042
553	13652.73992
554	13587.57198
555	13522.71511
556	13458.16781
557	13393.92861
558	13329.99605
559	13266.36864
560	13203.04495
561	13140.02352
562	13077.3029
563	13014.88167
564	12952.75839
565	12890.93164
566	12829.4
567	12768.16207
568	12707.21644
569	12646.56172
570	12586.19652
571	12526.11946
572	12466.32916
573	12406.82426
574	12347.60339
575	12288.66519
576	12230.00832
577	12171.63144
578	12113.5332
579	12055.71228
580	11998.16735
581	11940.8971
582	11883.90022
583	11827.17539
584	11770.72133
585	11714.53673
586	11658.62032
587	11602.97082
588	11547.58694
589	11492.46742
590	11437.611
591	11383.01643
592	11328.68244
593	11274.60781
594	11220.79129
595	11167.23165
596	11113.92767
597	11060.87811
598	11008.08178
599	10955.53745
600	10903.24393
601	10851.20003
602	10799.40454
603	10747.85628
604	10696.55408
605	10645.49675
606	10594.68314
607	10544.11207
608	10493.78239
609	10443.69294
610	10393.84259
611	10344.23018
612	10294.85458
613	10245.71467
614	10196.80931
615	10148.1374
616	10099.6978
617	10051.48942
618	10003.51115
619	9955.761891
620	9908.240552
621	9860.946044
622	9813.877285
623	9767.033197
624	9720.412707
625	9674.014749
626	9627.838259
627	9581.882182
628	9536.145464
629	9490.627059
630	9445.325925
631	9400.241024
632	9355.371325
633	9310.7158
634	9266.273428
635	9222.043189
636	9178.024073
637	9134.215071
638	9090.61518
639	9047.223403
640	9004.038745
641	8961.060219
642	8918.286839
643	8875.717628
644	8833.35161
645	8791.187816
646	8749.22528
647	8707.463042
648	8665.900145
649	8624.535638
650	8583.368575
651	8542.398012
652	8501.623012
653	8461.042641
654	8420.655971
655	8380.462076
656	8340.460037
657	8300.648937
658	8261.027866
659	8221.595916
660	8182.352184
661	8143.295773
662	8104.425788
663	8065.741338
664	8027.24154
665	7988.92551
666	7950.792373
667	7912.841254
668	7875.071286
669	7837.481603
670	7800.071345
671	7762.839656
672	7725.785683
673	7688.908577
674	7652.207496
675	7615.681597
676	7579.330046
677	7543.15201
678	7507.146661
679	7471.313174
680	7435.65073
681	7400.158511
682	7364.835706
683	7329.681505
684	7294.695104
685	7259.875701
686	7225.222501
687	7190.734709
688	7156.411535
689	7122.252195
690	7088.255906
691	7054.421889
692	7020.749371
693	6987.23758
694	6953.885749
695	6920.693115
696	6887.658918
697	6854.782401
698	6822.062812
699	6789.499402
700	6757.091425
701	6724.838139
702	6692.738806
703	6660.792692
704	6628.999064
705	6597.357195
706	6565.866361
707	6534.525841
708	6503.334916
709	6472.292874
710	6441.399003
711	6410.652596
712	6380.052949
713	6349.599363
714	6319.291138
715	6289.127583
716	6259.108006
717	6229.231719
718	6199.49804
719	6169.906287
720	6140.455783
721	6111.145853
722	6081.975827
723	6052.945037
724	6024.052818
725	5995.298508
726	5966.681451
727	5938.200989
728	5909.856472
729	5881.647251
730	5853.572679
731	5825.632114
732	5797.824917
733	5770.15045
734	5742.60808
735	5715.197177
736	5687.917113
737	5660.767263
738	5633.747007
739	5606.855725
740	5580.092801
741	5553.457624
742	5526.949583
743	5500.568072
744	5474.312486
745	5448.182225
746	5422.17669
747	5396.295286
748	5370.53742
749	5344.902504
750	5319.389948
751	5293.999171
752	5268.72959
753	5243.580628
754	5218.551707
755	5193.642256
756	5168.851704
757	5144.179483
758	5119.625029
759	5095.18778
760	5070.867176
761	5046.66266
762	5022.573678
763	4998.599679
764	4974.740114
765	4950.994436
766	4927.362103
767	4903.842572
768	4880.435307
769	4857.139769
770	4833.955428
771	4810.881751
772	4787.91821
773	4765.06428
774	4742.319438
775	4719.683162
776	4697.154935
777	4674.734241
778	4652.420567
779	4630.213401
780	4608.112236
781	4586.116565
782	4564.225884
783	4542.439694
784	4520.757494
785	4499.178789
786	4477.703085
787	4456.329889
788	4435.058713
789	4413.88907
790	4392.820475
791	4371.852445
792	4350.984501
793	4330.216165
794	4309.546961
795	4288.976417
796	4268.504061
797	4248.129424
798	4227.852041
799	4207.671447
800	4187.58718
801	4167.59878
802	4147.70579
803	4127.907754
804	4108.204219
805	4088.594734
806	4069.078849
807	4049.656119
808	4030.326099
809	4011.088345
810	3991.942419
811	3972.88788
812	3953.924294
813	3935.051225
814	3916.268242
815	3897.574916
816	3878.970817
817	3860.45552
818	3842.028601
819	3823.689639
820	3805.438213
821	3787.273905
822	3769.196301
823	3751.204985
824	3733.299546
825	3715.479575
826	3697.744663
827	3680.094403
828	3662.528393
829	3645.04623
830	3627.647514
831	3610.331846
832	3593.09883
833	3575.948072
834	3558.879178
835	3541.891758
836	3524.985424
837	3508.159788
838	3491.414465
839	3474.749071
840	3458.163226
841	3441.656549
842	3425.228662
843	3408.87919
844	3392.607758
845	3376.413993
846	3360.297526
847	3344.257986
848	3328.295007
849	3312.408224
850	3296.597271
851	3280.861789
852	3265.201416
853	3249.615794
854	3234.104566
855	3218.667377
856	3203.303873
857	3188.013703
858	3172.796517
859	3157.651967
860	3142.579705
861	3127.579387
862	3112.650669
863	3097.79321
864	3083.006669
865	3068.290708
866	3053.64499
867	3039.069179
868	3024.562943
869	3010.125948
870	2995.757865
871	2981.458364
872	2967.227118
873	2953.063802
874	2938.96809
875	2924.939662
876	2910.978194
877	2897.083367
878	2883.254865
879	2869.492369
880	2855.795565
881	2842.164139
882	2828.59778
883	2815.096176
884	2801.659018
885	2788.286
886	2774.976814
887	2761.731156
888	2748.548724
889	2735.429214
890	2722.372327
891	2709.377763
892	2696.445226
893	2683.57442
894	2670.765048
895	2658.01682
896	2645.329441
897	2632.702623
898	2620.136075
899	2607.629511
900	2595.182644
901	2582.795189
902	2570.466862
903	2558.197382
904	2545.986466
905	2533.833837
906	2521.739215
907	2509.702324
908	2497.722887
909	2485.800632
910	2473.935284
911	2462.126573
912	2450.374228
913	2438.677979
914	2427.03756
915	2415.452703
916	2403.923144
917	2392.448618
918	2381.028863
919	2369.663618
920	2358.352621
921	2347.095615
922	2335.892341
923	2324.742543
924	2313.645966
925	2302.602356
926	2291.61146
927	2280.673026
928	2269.786804
929	2258.952544
930	2248.169999
931	2237.438922
932	2226.759067
933	2216.13019
934	2205.552047
935	2195.024396
936	2184.546996
937	2174.119607
938	2163.741991
939	2153.41391
940	2143.135127
941	2132.905408
942	2122.724517
943	2112.592223
944	2102.508292
945	2092.472495
946	2082.484601
947	2072.544382
948	2062.65161
949	2052.806058
950	2043.007502
951	2033.255717
952	2023.550479
953	2013.891567
954	2004.278759
955	1994.711836
956	1985.190578
957	1975.714768
958	1966.284187
959	1956.898622
960	1947.557856
961	1938.261675
962	1929.009868
963	1919.802222
964	1910.638526
965	1901.518571
966	1892.442148
967	1883.409049
968	1874.419067
969	1865.471996
970	1856.567632
971	1847.705771
972	1838.88621
973	1830.108747
974	1821.37318
975	1812.679311
976	1804.02694
977	1795.415869
978	1786.8459
979	1778.316838
980	1769.828487
981	1761.380654
982	1752.973144
983	1744.605765
984	1736.278326
985	1727.990636
986	1719.742505
987	1711.533744
988	1703.364166
989	1695.233583
990	1687.14181
991	1679.08866
992	1671.073951
993	1663.097497
994	1655.159117
995	1647.258629
996	1639.395852
997	1631.570606
998	1623.782712
999	1616.031991
