iter	Passed	Remaining
0	0	349
1	0	267
2	0	263
3	1	302
4	1	293
5	1	274
6	1	261
7	2	260
8	2	261
9	2	256
10	2	250
11	3	248
12	3	239
13	3	233
14	3	234
15	3	235
16	4	233
17	4	235
18	4	233
19	4	231
20	4	230
21	5	232
22	5	229
23	5	228
24	5	227
25	6	225
26	6	227
27	6	228
28	6	227
29	7	227
30	7	224
31	7	226
32	7	224
33	7	222
34	8	222
35	8	220
36	8	220
37	8	219
38	8	219
39	9	217
40	9	216
41	9	216
42	9	214
43	9	213
44	10	214
45	10	213
46	10	212
47	10	210
48	10	209
49	11	209
50	11	209
51	11	210
52	11	211
53	12	212
54	12	217
55	13	225
56	13	224
57	13	223
58	14	223
59	14	222
60	14	221
61	14	219
62	14	219
63	14	219
64	15	218
65	15	217
66	15	216
67	15	215
68	15	214
69	16	213
70	16	213
71	16	213
72	16	212
73	16	212
74	17	212
75	17	212
76	17	211
77	17	211
78	18	211
79	18	210
80	18	209
81	18	209
82	18	208
83	19	208
84	19	208
85	19	208
86	19	207
87	20	207
88	20	206
89	20	205
90	20	204
91	20	203
92	20	202
93	21	202
94	21	201
95	21	201
96	21	202
97	21	201
98	22	202
99	22	201
100	22	201
101	22	202
102	23	201
103	23	201
104	23	201
105	23	201
106	23	200
107	24	199
108	24	201
109	24	202
110	25	202
111	25	202
112	25	202
113	25	201
114	26	200
115	26	200
116	26	200
117	26	200
118	27	199
119	27	199
120	27	199
121	27	199
122	27	199
123	28	198
124	28	198
125	28	198
126	28	197
127	28	197
128	29	197
129	29	196
130	29	196
131	29	195
132	29	195
133	30	194
134	30	194
135	30	194
136	30	194
137	31	194
138	31	194
139	31	193
140	31	193
141	32	193
142	32	193
143	32	192
144	32	191
145	32	191
146	32	191
147	33	190
148	33	190
149	33	189
150	33	189
151	33	188
152	33	188
153	34	187
154	34	188
155	34	188
156	35	189
157	35	188
158	35	188
159	35	188
160	36	189
161	36	190
162	37	190
163	37	190
164	37	190
165	37	190
166	38	189
167	38	189
168	38	189
169	38	189
170	38	188
171	39	188
172	39	188
173	39	188
174	39	187
175	40	187
176	40	187
177	40	187
178	40	186
179	40	186
180	41	185
181	41	185
182	41	185
183	41	185
184	42	185
185	42	184
186	42	184
187	42	183
188	42	183
189	42	182
190	43	182
191	43	182
192	43	181
193	43	181
194	43	181
195	44	180
196	44	180
197	44	180
198	44	179
199	44	179
200	45	179
201	45	179
202	45	178
203	45	178
204	45	177
205	46	177
206	46	177
207	46	177
208	46	177
209	47	177
210	47	177
211	47	176
212	47	176
213	48	176
214	48	176
215	48	176
216	48	176
217	49	175
218	49	175
219	49	175
220	49	175
221	49	174
222	50	174
223	50	174
224	50	173
225	50	173
226	50	173
227	51	173
228	51	173
229	51	172
230	51	172
231	51	172
232	52	171
233	52	171
234	52	171
235	52	170
236	53	170
237	53	170
238	53	170
239	53	170
240	53	169
241	54	169
242	54	169
243	54	168
244	54	168
245	54	168
246	55	168
247	55	168
248	55	168
249	55	167
250	56	167
251	56	167
252	56	166
253	56	166
254	56	166
255	57	166
256	57	166
257	57	165
258	57	165
259	58	165
260	58	165
261	58	165
262	58	165
263	59	164
264	59	164
265	59	164
266	60	164
267	60	164
268	60	165
269	61	164
270	61	164
271	61	164
272	61	164
273	62	164
274	62	164
275	62	164
276	62	164
277	63	164
278	63	163
